prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
201,PRD-1001,Ноутбук Lenovo IdeaPad,45000,Электроника,2023-01-01 00:00:00,2024-12-31 23:59:59
202,PRD-1002,Смартфон iPhone 14 Pro,85000,Электроника,2023-03-15 00:00:00,2024-06-30 23:59:59
203,PRD-1003,Кофемашина DeLonghi Magnifica,35000,Бытовая техника,2022-11-01 00:00:00,2024-10-31 23:59:59
204,PRD-1004,Микроволновая печь Samsung,12000,Бытовая техника,2023-05-20 00:00:00,2025-05-19 23:59:59
205,PRD-1005,Футболка хлопковая мужская,1500,Одежда,2023-02-10 00:00:00,2024-02-09 23:59:59
206,PRD-1006,Книга "Python для начинающих",2500,Книги,2023-07-01 00:00:00,2025-06-30 23:59:59
207,PRD-1007,Наушники Sony WH-1000XM4,18000,Электроника,2023-04-05 00:00:00,2024-04-04 23:59:59
208,PRD-1008,Кресло офисное Ergohuman,28000,Мебель,2023-01-15 00:00:00,2024-12-31 23:59:59
209,PRD-1009,Холодильник LG DoorCooling+,67000,Бытовая техника,2022-09-10 00:00:00,2025-09-09 23:59:59
210,PRD-1010,Джинсы мужские классические,3500,Одежда,2023-03-01 00:00:00,2024-08-31 23:59:59
211,PRD-1011,Планшет iPad Air,62000,Электроника,2023-06-15 00:00:00,2025-01-14 23:59:59
212,PRD-1012,Стиральная машина Bosch,43000,Бытовая техника,2022-12-05 00:00:00,2024-11-04 23:59:59
213,PRD-1013,Кроссовки Nike Air Max,7500,Одежда,2023-04-20 00:00:00,2024-10-19 23:59:59
214,PRD-1014,Монитор Dell 27",21000,Электроника,2023-02-28 00:00:00,2025-02-27 23:59:59
215,PRD-1015,Книга "Грокаем алгоритмы",1800,Книги,2023-08-10 00:00:00,2025-12-31 23:59:59
216,PRD-1016,Диван угловой Velutto,89000,Мебель,2023-05-05 00:00:00,2024-12-31 23:59:59
217,PRD-1017,Посудомоечная машина Miele,52000,Бытовая техника,2022-10-15 00:00:00,2024-09-14 23:59:59
218,PRD-1018,Смарт-часы Apple Watch,31000,Электроника,2023-07-22 00:00:00,2025-04-21 23:59:59
219,PRD-1019,Платье вечернее коктейльное,6500,Одежда,2023-01-25 00:00:00,2024-06-24 23:59:59
220,PRD-1020,Фен для волос Dyson Supersonic,37000,Бытовая техника,2023-03-30 00:00:00,2025-03-29 23:59:59
221,PRD-1021,Игровая консоль PlayStation 5,62000,Электроника,2023-09-01 00:00:00,2025-08-31 23:59:59
222,PRD-1022,Стол письменный Montana,12500,Мебель,2023-04-12 00:00:00,2024-12-31 23:59:59
223,PRD-1023,Блендер погружной Philips,8500,Бытовая техника,2023-02-18 00:00:00,2025-01-17 23:59:59
224,PRD-1024,Куртка зимняя пуховая,12900,Одежда,2022-11-25 00:00:00,2024-10-24 23:59:59
225,PRD-1025,Внешний жесткий диск Seagate 2TB,7500,Электроника,2023-05-30 00:00:00,2025-05-29 23:59:59
226,PRD-1026,Книга "Чистый код" Роберт Мартин,3200,Книги,2023-06-08 00:00:00,2025-05-07 23:59:59
227,PRD-1027,Кондиционер Ballu,38000,Бытовая техника,2023-07-14 00:00:00,2025-06-13 23:59:59
228,PRD-1028,Стул офисный Ergohuman+,16500,Мебель,2023-03-05 00:00:00,2024-12-31 23:59:59
229,PRD-1029,Ноутбук игровой ASUS ROG,115000,Электроника,2023-08-20 00:00:00,2025-02-19 23:59:59
230,PRD-1030,Юбка-карандаш офисная,4200,Одежда,2023-02-14 00:00:00,2024-07-13 23:59:59
231,PRD-1031,Электрочайник Tefal,6000,Бытовая техника,2023-01-08 00:00:00,2025-04-07 23:59:59
232,PRD-1032,Фитнес-браслет Xiaomi Mi Band,3500,Электроника,2023-04-25 00:00:00,2024-12-24 23:59:59
233,PRD-1033,Книга "Искусство программирования",4500,Книги,2023-09-15 00:00:00,2026-08-14 23:59:59
234,PRD-1034,Шкаф-купе 3-дверный,72000,Мебель,2023-05-17 00:00:00,2024-12-31 23:59:59
235,PRD-1035,Пылесос робот iRobot,29000,Бытовая техника,2023-06-30 00:00:00,2025-05-29 23:59:59
236,PRD-1036,Костюм мужской деловой,18500,Одежда,2023-03-22 00:00:00,2024-09-21 23:59:59
237,PRD-1037,Камера GoPro Hero 11,38000,Электроника,2023-07-05 00:00:00,2025-06-04 23:59:59
238,PRD-1038,Матрас ортопедический Askona,34000,Мебель,2023-02-03 00:00:00,2024-12-31 23:59:59
239,PRD-1039,Мультиварка REDMOND,11000,Бытовая техника,2023-04-08 00:00:00,2025-03-07 23:59:59
240,PRD-1040,Блузка женская шелковая,5500,Одежда,2023-01-30 00:00:00,2024-06-29 23:59:59
241,PRD-1041,Клавиатура механическая Logitech,8500,Электроника,2023-05-12 00:00:00,2024-12-31 23:59:59
242,PRD-1042,Книга "SQL за 10 минут",1500,Книги,2023-08-03 00:00:00,2025-07-02 23:59:59
243,PRD-1043,Вытяжка кухонная Krona,18500,Бытовая техника,2023-03-18 00:00:00,2025-02-17 23:59:59
244,PRD-1044,Комод 4-х ящичный,21500,Мебель,2023-06-25 00:00:00,2024-12-31 23:59:59
245,PRD-1045,Смартфон Samsung Galaxy S23,75000,Электроника,2023-02-22 00:00:00,2024-12-31 23:59:59
246,PRD-1046,Свитер шерстяной вязаный,4800,Одежда,2022-12-15 00:00:00,2024-05-14 23:59:59
247,PRD-1047,Электробритва Braun,9200,Бытовая техника,2023-04-02 00:00:00,2025-01-01 23:59:59
248,PRD-1048,МФУ лазерный HP,23500,Электроника,2023-07-28 00:00:00,2025-06-27 23:59:59
249,PRD-1049,Книга "Паттерны проектирования",2800,Книги,2023-09-08 00:00:00,2025-12-31 23:59:59
250,PRD-1050,Тумба прикроватная с LED,9500,Мебель,2023-05-09 00:00:00,2024-12-31 23:59:59
251,PRD-1051,Вентилятор напольный Vitek,5500,Бытовая техника,2023-06-03 00:00:00,2024-11-02 23:59:59
252,PRD-1052,Брюки чинос мужские,3200,Одежда,2023-03-11 00:00:00,2024-08-10 23:59:59
253,PRD-1053,SSD диск Samsung 1TB,9500,Электроника,2023-08-12 00:00:00,2025-07-11 23:59:59
254,PRD-1054,Утюг с парогенератором Tefal,14500,Бытовая техника,2023-02-07 00:00:00,2025-01-06 23:59:59
255,PRD-1055,Полка навесная книжная,6500,Мебель,2023-04-28 00:00:00,2024-12-31 23:59:59
256,PRD-1056,Книга "Гарри Поттер и философский камень",2200,Книги,2023-07-17 00:00:00,2025-12-31 23:59:59
257,PRD-1057,Ноутбук Apple MacBook Air M2,125000,Электроника,2023-01-12 00:00:00,2025-04-11 23:59:59
258,PRD-1058,Пиджак женский деловой,9800,Одежда,2023-05-24 00:00:00,2024-10-23 23:59:59
259,PRD-1059,Аэрогриль Hotter,13500,Бытовая техника,2023-03-27 00:00:00,2025-02-26 23:59:59
260,PRD-1060,Игровая мышь Razer,6700,Электроника,2023-09-05 00:00:00,2025-03-04 23:59:59
261,PRD-1061,Кресло-качалка деревянное,27500,Мебель,2023-06-19 00:00:00,2024-12-31 23:59:59
262,PRD-1062,Соковыжималка шнековая Philips,19500,Бытовая техника,2023-04-15 00:00:00,2025-03-14 23:59:59
263,PRD-1063,Шорты спортивные мужские,2100,Одежда,2023-07-02 00:00:00,2024-11-01 23:59:59
264,PRD-1064,Книга "Властелин колец",3400,Книги,2023-08-25 00:00:00,2026-01-31 23:59:59
265,PRD-1065,Монитор игровой MSI 32",45000,Электроника,2023-02-26 00:00:00,2025-01-25 23:59:59
266,PRD-1066,Водонагреватель Ariston,22000,Бытовая техника,2023-05-14 00:00:00,2025-04-13 23:59:59
267,PRD-1067,Компьютерный стол L-образный,32500,Мебель,2023-01-19 00:00:00,2024-12-31 23:59:59
268,PRD-1068,Сумка кожаная женская,12500,Одежда,2023-06-07 00:00:00,2024-11-06 23:59:59
269,PRD-1069,Роутер Wi-Fi 6 Asus,12500,Электроника,2023-03-09 00:00:00,2025-08-08 23:59:59
270,PRD-1070,Книга "Автоматизация рутины на Python",2100,Книги,2023-09-22 00:00:00,2025-08-21 23:59:59
271,PRD-1071,Духовой шкаф электрический Bosch,36500,Бытовая техника,2023-04-22 00:00:00,2025-09-21 23:59:59
272,PRD-1072,Диван-кровать раскладной,48500,Мебель,2023-07-09 00:00:00,2024-12-31 23:59:59
273,PRD-1073,Смартфон Xiaomi 13 Pro,58000,Электроника,2023-02-05 00:00:00,2024-12-31 23:59:59
274,PRD-1074,Пальто зимнее женское,18900,Одежда,2022-11-08 00:00:00,2024-10-07 23:59:59
275,PRD-1075,Блендер стационарный Moulinex,12500,Бытовая техника,2023-05-03 00:00:00,2025-04-02 23:59:59
276,PRD-1076,Проектор домашний Epson,42000,Электроника,2023-08-15 00:00:00,2025-07-14 23:59:59
277,PRD-1077,Книга "Программист-прагматик",2700,Книги,2023-06-29 00:00:00,2025-12-31 23:59:59
278,PRD-1078,Шкаф для обуви открытый,8500,Мебель,2023-03-14 00:00:00,2024-12-31 23:59:59
279,PRD-1079,Мясорубка электрическая Zelmer,16500,Бытовая техника,2023-04-10 00:00:00,2025-03-09 23:59:59
280,PRD-1080,Рубашка мужская классическая,3900,Одежда,2023-07-25 00:00:00,2024-12-24 23:59:59
281,PRD-1081,Планшет Samsung Galaxy Tab,34000,Электроника,2023-01-28 00:00:00,2024-12-31 23:59:59
282,PRD-1082,Книга "Эффективная работа с унаследованным кодом",2300,Книги,2023-09-03 00:00:00,2025-08-02 23:59:59
283,PRD-1083,Посудомойка компактная Candy,29500,Бытовая техника,2023-05-27 00:00:00,2025-04-26 23:59:59
284,PRD-1084,Стул барный с подлокотниками,14200,Мебель,2023-08-08 00:00:00,2024-12-31 23:59:59
285,PRD-1085,Фитнес-трекер Garmin,18500,Электроника,2023-02-19 00:00:00,2025-01-18 23:59:59
286,PRD-1086,Джемпер вязаный мужской,5200,Одежда,2023-04-04 00:00:00,2024-09-03 23:59:59
287,PRD-1087,Варочная панель индукционная,28500,Бытовая техника,2023-07-12 00:00:00,2025-06-11 23:59:59
288,PRD-1088,Книга "Рефакторинг" Мартин Фаулер,3100,Книги,2023-06-21 00:00:00,2025-12-31 23:59:59
289,PRD-1089,Тумба под телевизор,17800,Мебель,2023-03-03 00:00:00,2024-12-31 23:59:59
290,PRD-1090,Колонка Bluetooth JBL,12500,Электроника,2023-05-16 00:00:00,2025-04-15 23:59:59
291,PRD-1091,Чайник стеклянный с подсветкой,7500,Бытовая техника,2023-08-18 00:00:00,2025-07-17 23:59:59
292,PRD-1092,Брюки женские классические,4100,Одежда,2023-02-11 00:00:00,2024-07-10 23:59:59
293,PRD-1093,Игровая клавиатура SteelSeries,11500,Электроника,2023-04-30 00:00:00,2025-01-29 23:59:59
294,PRD-1094,Книга "Изучаем Python" Марк Лутц,3800,Книги,2023-07-31 00:00:00,2025-12-31 23:59:59
295,PRD-1095,Кухонный гарнитур модульный,125000,Мебель,2023-01-05 00:00:00,2024-12-31 23:59:59
296,PRD-1096,Миксер планетарный Kenwood,32500,Бытовая техника,2023-06-12 00:00:00,2025-05-11 23:59:59
297,PRD-1097,Смартфон Google Pixel 7,67000,Электроника,2023-03-25 00:00:00,2024-12-31 23:59:59
298,PRD-1098,Юбка плиссированная,3600,Одежда,2023-09-10 00:00:00,2024-12-09 23:59:59
299,PRD-1099,Книга "Глубокое обучение" Goodfellow,5200,Книги,2023-05-08 00:00:00,2026-04-07 23:59:59
300,PRD-1100,Стеллаж для книг 5-полочный,16500,Мебель,2023-02-23 00:00:00,2024-12-31 23:59:59
